LabID,SiteLabel,SiteDescr,Site,Date,SampleType,Q_cfs,ROSS Turbidity,ROSS Time (MST),ROSS Field_DO_mgL,ROSS Field_Cond_µS/cm,ROSS Field_Temp_C,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 400,PBR,PBR_052421,Poudre Below Rustic,24-May-21,NORM,,,,,,,,,,5.98,0.4,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12
FCW 404,PNF,PNF_052421,Poudre Above North Fork,24-May-21,NORM,,,,,,,,,,7.22,0.47,7.91,517.13,72.27,2.69,0.03,1.03,1.75,7.3,0.08,1.94,0.49,0,8.14
FCW 402,PSF,PSF_052421,Poudre Below S. Fork,24-May-21,NORM,,,,,,,,,,6.45,0.42,7.09,330.56,56.35,2.22,0.06,1.02,1.56,6.49,0.06,1.1,0.47,0,8.02
FCW 401,SFM,SFM_052421,Poudre South Fork,24-May-21,NORM,,,,,,,,,,8.34,0.42,7.02,263.62,44.81,2.05,0.04,0.85,1.23,4.89,0.09,0.74,0.43,0,6.67
FCW 427,BMD,BMD_060121,Barnes Meadow Outflow,1-Jun-21,NORM,,,,,,,3.5,4,,7.64,0.4,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24
FCW 425,CBRI,CBRI_060121,Chambers Inlet,1-Jun-21,NORM,,,,,,,2.5,4,,5.32,0.47,7.24,380.57,47.78,1.84,0.02,0.89,1.1,6.25,0.04,0.75,0.45,0.01,5.36
FCW 426,CHD,CHD_060121,Chambers Outflow,1-Jun-21,NORM,,,,,,,2,0,,4.03,0.36,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71
FCW 429,PJW,PJW_060121,Poudre Above Joe Wright,1-Jun-21,NORM,,,,,,,2.4,0,,7.99,0.47,7.05,135.12,27.16,1.19,0.02,0.66,0.78,3.58,0.05,0.53,0.51,0,4.18
FCW 428,JWC,JWC_060121,JWC-Joe Wright @ Aspen Glen Campground,1-Jun-21,NORM,,,,,,,,,,5.26,0.41,7.29,474.41,62.97,1.85,0.04,1.03,1.44,7.12,0.04,1.07,0.21,0,7.23
FCW 431,PBR,PBR_060121,Poudre Below Rustic,1-Jun-21,NORM,,,,,,,,,,6.4,0.41,7.11,290.44,46.04,1.76,0.03,0.81,1.18,4.96,0.05,1.38,0.23,0,5.47
FCW 436,PNF,PNF_060121,Poudre Above North Fork,1-Jun-21,NORM,,,,,,,,,,6.26,0.38,7.19,435.65,57.47,2.4,0.03,0.82,1.45,6,0.08,1.54,0.24,0,5.72
FCW 434,PSF,PSF_060121,Poudre Below S. Fork,1-Jun-21,NORM,,,,,,,,,,6.14,0.38,7.17,319.6,46.87,1.99,0.02,0.82,1.28,5.22,0.06,1.44,0.21,0,5.67
FCW 433,SFM,SFM_060121,Poudre South Fork,1-Jun-21,NORM,,,,,,,,,,6.87,0.42,7,225.56,37.69,1.9,0.01,0.65,0.96,3.9,0.09,0.9,0.26,0,4.78
FCW 448,BMD,BMD_060221,Barnes Meadow Outflow,2-Jun-21,NORM,,,,,,,,7.38,1.04,7.38,0.55,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59
FCW 449,BRNR,BRNR_060221,Barnes Meadow Reservoir,2-Jun-21,NORM,,,,,,,,1.79,1.45,7.34,0.46,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42
FCW 447,CBRI,CBRI_060221,Chambers Inlet,2-Jun-21,NORM,,,,,,,,1.79,0.21,4.23,0.46,7.12,321.42,46.12,2.06,0.02,0.58,0.95,6.37,0.06,0.48,0.38,0,3.01
FCW 452,CBRR,CBRR_060221,Chambers Reservoir,2-Jun-21,NORM,,,,,,,,3.72,2.64,3.9,0.42,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47
FCW 450,CHD,CHD_060221,Chambers Outflow,2-Jun-21,NORM,,,,,,,,0,2.1,3.73,0.45,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65
FCW 451,CHD,CHD_060221,Chambers Outflow,2-Jun-21,DUPLICATE,,,,,,,,0,2.01,3.67,0.42,7.22,373.8,55.85,1.7,0.03,1,1.43,7.17,0.04,0.93,0.29,0,6.58
FCW 445,JOEI,JOEI_060221,Joe Wright Inlet,2-Jun-21,NORM,,,,,,,,1.77,0.14,4.37,0.36,6.99,275.59,32.21,1.22,0.02,0.4,1.16,4.2,0.02,1.02,0.02,0,1.35
FCW 446,JOER,JOER_060221,Joe Wright Reservoir,2-Jun-21,NORM,,,,,,,,0,0.37,3.05,0.39,7.01,379.11,43.77,1.41,0.05,0.63,1.27,5.85,0.06,0.72,0.1,0,3.6
FCW 443,LNGO,LNGO_060221,Long Draw Outlet,2-Jun-21,NORM,,,,,,,,0,0.04,8.93,0.6,6.59,88.64,19.78,0.9,0.03,0.44,0.51,2.16,0.02,0.52,0.52,0,1.53
FCW 442,LNGR,LNGR_060221,Long Draw Reservoir,2-Jun-21,NORM,,,,,,,,1,0.27,9.45,0.59,6.77,157.14,27.29,0.86,0.03,0.53,0.7,4.04,0.09,0.32,0.4,0,2.97
FCW 444,PTRR,PTRR_060221,Peterson Reservoir,2-Jun-21,NORM,,,,,,,,0,1.54,7.02,0.65,6.82,169.77,41.8,1.49,0.11,1.35,0.82,4.97,0.03,0.88,0.32,0,7.85
FCW 455,BMD,BMD_060721,Barnes Meadow Outflow,7-Jun-21,NORM,,,,,,,4,,,7.42,0.54,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39
FCW 453,CBRI,CBRI_060721,Chambers Inlet,7-Jun-21,NORM,,,,,,,5,,,3.99,0.36,6.81,304.73,44.7,1.42,0.05,0.62,1.49,5.85,0.06,0.64,0.35,0,3.39
FCW 454,CHD,CHD_060721,Chambers Outflow,7-Jun-21,NORM,,,,,,,3.75,,,3.88,0.46,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84
FCW 457,PJW,PJW_060721,Poudre Above Joe Wright,7-Jun-21,NORM,,,,,,,4.75,,,7.14,0.59,6.67,138.15,26.6,1.07,0.03,0.51,0.59,3.36,0.08,0.38,0.59,0,3
FCW 456,JWC,JWC_060721,JWC-Joe Wright @ Aspen Glen Campground,7-Jun-21,NORM,,,,,,,,,,4.05,0.52,6.93,374.62,54.05,1.61,0.05,0.92,1.26,6.3,0.04,0.9,0.26,0,6.03
FCW 459,PBR,PBR_060721,Poudre Below Rustic,7-Jun-21,NORM,,,,,,,,,,5.69,0.48,6.85,224.31,36.4,1.51,0.03,0.66,0.92,3.99,0.06,0.69,0.34,0,4.1
FCW 463,PNF,PNF_060721,Poudre Above North Fork,7-Jun-21,NORM,,,,,,,,,,6.5,0.56,6.84,283.3,43.52,1.92,0.03,0.7,1.08,4.58,0.08,1.13,0.39,0,4.18
FCW 461,PSF,PSF_060721,Poudre Below S. Fork,7-Jun-21,NORM,,,,,,,,,,6.53,0.62,6.83,239.44,39.37,1.62,0.03,0.68,0.93,4.04,0.07,0.75,0.33,0,4.05
FCW 460,SFM,SFM_060721,Poudre South Fork,7-Jun-21,NORM,,,,,,,,,,7.5,0.48,6.69,156.73,25.64,1.31,0.03,0.49,0.59,2.55,0.09,0.46,0.34,0,2.8
FCW 488,BMD,BMD_060921,Barnes Meadow Outflow,9-Jun-21,NORM,,,,,,,6.4,5,2.17,7.43,0.68,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25
FCW 489,BRNR,BRNR_060921,Barnes Meadow Reservoir,9-Jun-21,NORM,,,,,,,3,3,1.83,7.39,0.5,7.09,426.01,68.78,2.22,0.02,1.17,1.53,9.51,0.02,1.28,0.03,0,10.33
FCW 487,CBRI,CBRI_060921,Chambers Inlet,9-Jun-21,NORM,,,,,,,3.6,6,0.36,3.97,0.43,6.97,296.85,39.22,1.34,0.03,0.64,0.95,5.14,0.05,0.41,0.14,0,2.66
FCW 490,CBRR,CBRR_060921,Chambers Reservoir,9-Jun-21,NORM,,,,,,,3.1,2,1.18,4.18,0.74,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98
FCW 491,CHD,CHD_060921,Chambers Outflow,9-Jun-21,NORM,,,,,,,3.5,2.11,1.54,4.08,0.46,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7
FCW 492,CHD,CHD_060921,Chambers Outflow,9-Jun-21,DUPLICATE,,,,,,,3.8,3.06,1.56,4.03,0.44,7.01,350.57,49.31,1.47,0.01,0.83,1.18,6.25,0.03,0.64,0.29,0,4.7
FCW 485,JOEI,JOEI_060921,Joe Wright Inlet,9-Jun-21,NORM,,,,,,,3.9,2,0.18,4.38,0.33,6.96,269.76,32.2,1.07,0,0.49,1,4.33,0.06,0.26,0.18,0,1.98
FCW 486,JOER,JOER_060921,Joe Wright Reservoir,9-Jun-21,NORM,,,,,,,3,1,0.47,3.61,0.34,6.97,371.16,45.22,1.41,0,0.59,1.26,5.83,0.03,0.53,0.04,0,3.22
FCW 482,LNGO,LNGO_060921,Long Draw Outlet,9-Jun-21,NORM,,,,,,,3,0,0.64,4.32,0.53,6.82,218.84,33.55,0.81,0,0.48,0.76,4.79,0.09,0.34,0.52,0,3.5
FCW 481,LNGR,LNGR_060921,Long Draw Reservoir,9-Jun-21,NORM,,,,,,,4.1,1,0.48,5.28,0.53,6.69,175.94,30.63,0.8,0.02,0.48,0.71,4.62,0.11,0.55,0.53,0,3.1
FCW 483,PTRO,PTRO_060921,Peterson Outlet,9-Jun-21,NORM,,,,,,,2.5,3,4.6,7.14,0.44,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52
FCW 484,PTRR,PTRR_060921,Peterson Reservoir,9-Jun-21,NORM,,,,,,,3.4,6,4.79,7,0.48,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61
FCW 517,BMD,BMD_061621,Barnes Meadow Outflow,16-Jun-21,NORM,,,,,,,10,6.09,2.98,7.69,0.58,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23
FCW 518,BRNR,BRNR_061621,Barnes Meadow Reservoir,16-Jun-21,NORM,,,,,,,3.6,2,1.66,7.61,0.55,7.01,405.16,71.97,2.38,0.06,1.26,1.56,9.43,0.04,1.43,0.01,0,11.8
FCW 516,CBRI,CBRI_061621,Chambers Inlet,16-Jun-21,NORM,,,,,,,2.8,2.01,0.32,3.44,0.28,6.82,302.57,39.32,1.4,0.03,0.69,0.98,5.02,0.06,0.48,0.13,0,2.69
FCW 519,CBRR,CBRR_061621,Chambers Reservoir,16-Jun-21,NORM,,,,,,,3.5,3,1.56,4.11,0.4,6.91,313.61,43.6,1.35,0.08,0.83,1.08,5.64,0.05,0.65,0.01,0,4.4
FCW 520,CHD,CHD_061621,Chambers Outflow,16-Jun-21,NORM,,,,,,,2.9,2,0.96,3.76,0.34,6.81,346.47,46.47,1.53,0.04,0.86,1.07,5.98,0.05,0.61,0.11,0,4.18
FCW 513,JOEI,JOEI_061621,Joe Wright Inlet,16-Jun-21,NORM,,,,,,,2.5,3,0.27,4.02,0.31,6.82,299.66,40.87,1.21,0.02,0.5,1.18,5.05,0.1,0.32,0.12,0,3.46
FCW 514,JOEI,JOEI_061621,Joe Wright Inlet,16-Jun-21,DUPLICATE,,,,,,,2.5,1.01,0.25,4.03,0.27,6.78,304.41,42.31,1.23,0.01,0.5,1.14,5.04,0.11,0.33,0.12,0,3.54
FCW 515,JOER,JOER_0616621,Joe Wright Reservoir,16-Jun-21,NORM,,,,,,,2.5,1.01,0.63,3.76,0.32,6.74,339.54,43.21,1.33,0.03,0.61,1.21,5.49,0.07,0.58,0.05,0,3.23
FCW 510,LNGO,LNGO_061621,Long Draw Outlet,16-Jun-21,NORM,,,,,,,3.3,2,0.72,4.35,0.5,6.6,194,31.76,0.75,0.03,0.46,0.71,4.41,0.17,0.19,0.56,0,3.69
FCW 509,LNGR,LNGR_061621,Long Draw Reservoir,16-Jun-21,NORM,,,,,,,,2,0.47,4.41,0.54,6.59,202.93,32.63,0.84,0.03,0.5,0.78,4.84,0.21,0.23,0.57,0,3.95
FCW 511,PTRO,PTRO_061621,Peterson Outlet,16-Jun-21,NORM,,,,,,,3,3,2.6,7.69,0.48,6.72,163.9,40.78,1.41,0.06,1.27,0.75,4.93,0.02,0.78,0.01,0,6.85
FCW 512,PTRR,PTRR_061621,Peterson Reservoir,16-Jun-21,NORM,,,,,,,3,0,4.11,8,0.55,6.68,164.27,41.22,1.44,0.09,1.28,0.81,5.01,0.03,0.8,0.01,0,6.89
FCW 522,PJW,PJW_062121,Poudre Above Joe Wright,21-Jun-21,NORM,,,,,,,2.1,2.9,,4.52,0.4,6.67,188,29.52,1.08,0.02,0.47,0.72,3.91,0.07,0.23,0.53,0,3.03
FCW 521,JWC,JWC_062121,JWC-Joe Wright @ Aspen Glen Campground,21-Jun-21,NORM,,,,,,,,,,3.87,0.33,6.86,318.68,45.13,1.41,0.04,0.84,1.12,5.9,0.05,0.73,0.14,0,4.57
FCW 524,PBR,PBR_062121,Poudre Below Rustic,21-Jun-21,NORM,,,,,,,,,,3.92,0.34,6.82,267.52,38.75,1.48,0.03,0.64,1.01,4.99,0.09,0.53,0.23,0,3.49
FCW 528,PNF,PNF_062121,Poudre Above North Fork,21-Jun-21,NORM,,,,,,,,,,4.13,0.36,6.86,301.74,45.19,1.88,0.05,0.64,1.13,5.33,0.14,0.92,0.2,0,3.47
FCW 529,PNF,PNF_062121,Poudre Above North Fork,21-Jun-21,DUPLICATE,,,,,,,,,,4.06,0.31,6.89,315.12,45.48,1.88,0.05,0.63,1.15,5.4,0.14,0.91,0.19,0,3.41
FCW 526,PSF,PSF_062121,Poudre Below S. Fork,21-Jun-21,NORM,,,,,,,,,,4.44,0.56,6.77,272.07,36.56,1.5,0.04,0.58,0.95,4.56,0.1,0.53,0.19,0,3.17
FCW 525,SFM,SFM_062121,Poudre South Fork,21-Jun-21,NORM,,,,,,,,,,4.19,0.33,6.54,145.61,22.47,1.33,0.03,0.35,0.56,2.59,0.16,0.29,0.21,0,1.7
FCW 553,BMD,BMD_062321,Barnes Meadow Outflow,23-Jun-21,NORM,,,,,,,5,4.14,,7.29,0.45,7.1,409.22,75.93,2.32,0.04,1.14,1.46,9.27,0.04,1.38,0.15,0,10.86
FCW 554,BRNR,BRNR_062321,Barnes Meadow Reservoir,23-Jun-21,NORM,,,,,,,4.5,10.2,,7.52,0.7,7.32,430.99,85.43,2.39,0.04,1.2,1.49,9.25,0.04,1.38,0.01,0,11.15
FCW 555,BRNR,BRNR_062321,Barnes Meadow Reservoir,23-Jun-21,DUPLICATE,,,,,,,5.5,835.2,,7.53,0.71,7.28,424.26,80.71,2.39,0.05,1.2,1.51,9.26,0.04,1.39,0.01,0,11.2
FCW 552,CBRI,CBRI_062321,Chambers Inlet,23-Jun-21,NORM,,,,,,,4.5,0.7,,3.05,0.43,7.21,349.32,45.05,1.52,0.02,0.67,1.03,5.51,0.07,0.56,0.1,0,2.96
FCW 556,CBRR,CBRR_062321,Chambers Reservoir,23-Jun-21,NORM,,,,,,,3,4.7,,3.92,0.51,7.16,298.52,43.69,1.32,0.03,0.84,0.99,5.54,0.05,0.58,0.01,0,4
FCW 557,CHD,CHD_062321,Chambers Outflow,23-Jun-21,NORM,,,,,,,5,0.8,,3.42,0.42,7.14,344.81,48.59,1.52,0.03,0.83,1.06,6.21,0.05,0.58,0.09,0,3.99
FCW 550,JOEI,JOEI_062321,Joe Wright Inlet,23-Jun-21,NORM,,,,,,,1.6,9.4,,2,0.33,7.15,376.97,50.43,1.27,0.02,0.45,1.23,5.98,0.07,0.3,0.21,0,4.53
FCW 551,JOER,JOER_062321,Joe Wright Reservoir,23-Jun-21,NORM,,,,,,,1.5,1.5,,3.51,0.3,7.13,335.87,41.91,1.21,0.02,0.55,1.07,5.27,0.05,0.49,0.01,0,2.98
FCW 546,LNGO,LNGO_062321,Long Draw Outlet,23-Jun-21,NORM,,,,,,,2.9,0.2,,3.79,0.52,6.99,225.38,36.74,0.79,0.04,0.46,0.81,4.95,0.11,0.18,0.58,0,4.59
FCW 547,LNGR,LNGR_062321,Long Draw Reservoir,23-Jun-21,NORM,,,,,,,4.7,7.82,,3.84,0.49,6.98,222.44,38.44,0.85,0.03,0.51,0.91,5.26,0.21,0.19,0.54,0,4.51
FCW 548,PTRO,PTRO_062321,Peterson Outlet,23-Jun-21,NORM,,,,,,,3,1.2,,7.62,0.52,7.07,186.6,42.83,1.42,0.19,1.21,0.76,5.04,0.02,0.73,0.01,0,6.48
FCW 549,PTRR,PTRR_062321,Peterson Reservoir,23-Jun-21,NORM,,,,,,,,10.4,,7.58,0.52,7.1,176.92,41.72,1.42,0.1,1.18,0.75,4.83,0.01,0.75,0.02,0,6.51
FCW 614,BMD,BMD_063021,Barnes Meadow Outflow,30-Jun-21,NORM,,,,,,,7,4.1,0.81,7.01,0.7,7.11,377.93,74.78,2.31,0.08,1.17,1.51,10.26,0.03,1.37,0.07,0,10.16
FCW 615,BRNR,BRNR_063021,Barnes Meadow Reservoir,30-Jun-21,NORM,,,,,,,16,1.6,1.1,7.19,0.7,7.1,405,67.26,2.38,0.06,1.21,1.51,10.27,0.03,1.37,0.01,0,10.54
FCW 613,CBRI,CBRI_063021,Chambers Inlet,30-Jun-21,NORM,,,,,,,7,2.7,0.51,2.73,0.74,7.12,288.93,40.15,1.52,0.02,0.62,0.98,5.27,0.09,0.47,0.04,0,2.48
FCW 616,CBRR,CBRR_063021,Chambers Reservoir,30-Jun-21,NORM,,,,,,,12,1.9,3.47,3.3,0.53,7.19,310.29,40.11,1.25,0.05,0.7,0.92,5.18,0.08,0.45,0.01,0,3.11
FCW 617,CHD,CHD_063021_DUPE,Chambers Outflow,30-Jun-21,NORM,,,,,,,8,3.6,1.05,3.1,0.83,7.1,356.2,46.71,1.65,0.05,0.87,1.04,6.56,0.09,0.51,0.01,0,3.47
FCW 618,CHD,CHD_063021,Chambers Outflow,30-Jun-21,DUPLICATE,,,,,,,8,2.9,1.01,2.98,0.82,7.12,355.33,45.55,1.61,0.04,0.85,1.02,6.5,0.08,0.5,0.01,0,3.39
FCW 611,JOEI,JOEI_063021,Joe Wright Inlet,30-Jun-21,NORM,,,,,,,9.5,1.6,0.36,1.78,0.84,6.97,388.1,47.05,1.31,0.01,0.38,1.33,6.61,0.13,0.28,0.13,0,4.44
FCW 612,JOER,JOER_063021,Joe Wright Reservoir,30-Jun-21,NORM,,,,,,,11.5,2.2,0.89,3.64,0.73,7.08,394.74,46.72,1.35,0.01,0.6,1.17,5.64,0.11,0.52,0.01,0,3.06
FCW 608,LNGO,LNGO_063021,Long Draw Outlet,30-Jun-21,NORM,,,,,,,7,0.5,0.43,3.26,0.95,6.94,257.88,41.36,0.87,0.02,0.49,1.03,5.9,0.24,0.18,0.61,0,5.2
FCW 607,LNGR,LNGR_063021,Long Draw Reservoir,30-Jun-21,NORM,,,,,,,11,0.1,0.51,3.55,0.99,7.15,448.99,45.88,0.83,0.02,0.47,0.8,5.2,0.22,0.18,0.45,0,4.54
FCW 609,PTRO,PTRO_063021,Peterson Outlet,30-Jun-21,NORM,,,,,,,13,0.7,2.34,7.54,0.98,6.92,210.85,39.86,1.51,0.09,1.25,0.73,5.16,0.06,0.71,0,0,6.28
FCW 610,PTRR,PTRR_063021,Peterson Reservoir,30-Jun-21,NORM,,,,,,,15.5,1.7,2.17,7.73,0.97,6.95,179.26,38.2,1.47,0.08,1.21,0.73,4.93,0.04,0.76,0.01,0,6.27
FCW 594,PBR,PBR_070121,Poudre Below Rustic,1-Jul-21,NORM,,,,,,,,,,4.34,1.71,7.07,290.33,40.14,1.53,0.02,0.61,1.06,5.17,0.05,0.54,0.12,0,3.52
FCW 595,PSF,PSF_070121,Poudre Below S. Fork,1-Jul-21,NORM,,,,,,,,,,7.6,2.3,7.65,902.21,83.88,1.42,0.16,1.67,1.53,11.89,0.06,0.59,0.65,0.34,3.97
FCW 590,SFM,SFM_070121,Poudre South Fork,1-Jul-21,NORM,,,,,,,,,,9.63,2.49,7.11,715.76,79.71,1.54,0.08,1.92,1.59,10.26,0.08,0.57,1,0.3,3.76
FCW 596,SFM,SFM_070121,Poudre South Fork,1-Jul-21,NORM,,,,,,,,,,8.46,1.41,6.94,671.56,71.12,1.66,0.08,1.83,1.45,10.51,0.08,0.52,0.76,0.14,3.77
FCW 605,PBR,PBR_070221,Poudre Below Rustic,2-Jul-21,NORM,,,,,,,,,,3.5,0.94,7.14,355.45,45.65,1.59,0.04,0.65,1.1,5.6,0.06,0.56,0.13,0,3.74
FCW 606,PNF,PNF_070221,Poudre Above North Fork,2-Jul-21,NORM,,,,,,,,,,4.19,0.97,7.06,338.48,35.19,2.27,0.04,0.39,1.08,3.27,0.15,0.91,0.32,0,1.78
FCW 601,SFM,SFM_070221,Poudre South Fork,2-Jul-21,NORM,,,,,,,,,,4.74,0.99,7.16,481.75,47.16,1.7,0.06,0.59,0.81,6.28,0.07,0.33,0.34,0,2.2
FCW 627,BMD,BMD_070721,Barnes Meadow Outflow,7-Jul-21,NORM,,,,,,,13,7.3,0.5,7.03,0.51,6.81,415.86,76.7,2.36,0.15,1.17,1.49,9.96,0.04,1.67,0.18,0,10.53
FCW 628,BRNR,BRNR_070721,Barnes Meadow Reservoir,7-Jul-21,NORM,,,,,,,19,0.7,1.23,7.16,0.4,7.2,427.88,79.26,2.41,0.04,1.27,1.72,10,0.06,1.75,0.15,0,10.86
FCW 626,CBRI,CBRI_070721,Chambers Inlet,7-Jul-21,NORM,,,,,,,7,0.3,0.56,2.76,0.28,7.06,354.5,44.29,1.65,0.04,0.65,1.1,5.97,0.04,0.51,0.19,0,2.89
FCW 629,CBRR,CBRR_070721,Chambers Reservoir,7-Jul-21,NORM,,,,,,,17,2.3,2.13,3.14,0.23,7.33,297.13,42.25,1.39,0.04,0.72,1.05,5.54,0.07,0.48,0.11,0,3.2
FCW 630,CHD,CHD_070721,Chambers Outflow,7-Jul-21,NORM,,,,,,,10,,1.22,2.7,0.17,6.98,383.65,52.49,1.9,0.04,0.98,1.27,7.41,0.04,0.61,0.17,0,3.76
FCW 623,JOEI,JOEI_070721,Joe Wright Inlet,7-Jul-21,NORM,,,,,,,11,0.9,0.35,1.29,0.24,6.95,407.85,54.74,1.4,0.02,0.36,1.39,7.18,0.11,0.21,0.36,0,5.44
FCW 624,JOER,JOER_070721,Joe Wright Reservoir,7-Jul-21,NORM,,,,,,,11,0.6,0.69,3.28,0.27,6.99,321.8,43.86,1.43,0.03,0.57,1.18,5.5,0.09,0.47,0.01,0,3.24
FCW 625,JOER,JOER_070721,Joe Wright Reservoir,7-Jul-21,DUPLICATE,,,,,,,11,1.7,0.88,3.19,0.23,7,319.44,44.33,1.43,0.03,0.58,1.19,5.62,0.09,0.48,0.01,0,3.25
FCW 620,LNGO,LNGO_070721,Long Draw Outlet,7-Jul-21,NORM,,,,,,,7,1.7,0.38,3,0.39,6.81,238.69,42.45,0.92,0.03,0.45,0.93,5.75,0.2,0.14,0.69,0,5.75
FCW 619,LNGR,LNGR_070721,Long Draw Reservoir,7-Jul-21,NORM,,,,,,,11,0.7,0.92,3.34,0.31,6.97,212.52,38.44,0.92,0.02,0.47,0.86,5.11,0.18,0.16,0.49,0,4.88
FCW 622,PTRO,PTRO_070721,Peterson Outlet,7-Jul-21,NORM,,,,,,,1.8,0,0.51,7.22,0.55,7,136.86,40.25,1.64,0.15,1.24,0.76,5.21,0.02,0.76,0.12,0,6.53
FCW 621,PTRR,PTRR_070721,Peterson Reservoir,7-Jul-21,NORM,,,,,,,13,1.3,0.49,7.51,0.62,6.74,171.36,40.99,1.58,0.16,1.18,0.76,4.87,0.02,0.74,0.11,0,6.48
FCW 633,COMI,COMI_070921,Comanche Inflow,9-Jul-21,NORM,,,,,,,9,,0.43,2.75,0.22,6.74,123.96,18.97,1.36,0.02,0.24,0.46,2.36,0.02,0.21,0.27,0,1.33
FCW 636,COMO,COMO_070921,Comanche Outflow,9-Jul-21,NORM,,,,,,,12,,2.33,2.85,0.28,6.77,154.21,23.99,1.47,0.04,0.32,0.57,2.71,0.02,0.2,0.36,0,1.77
FCW 634,COMR,COMR_070921,Comanche Reservoir,9-Jul-21,NORM,,,,,,,13,,0.29,2.91,0.27,6.75,171.14,24.5,1.54,0.1,0.35,0.59,2.86,0.02,0.24,0.35,0,1.94
FCW 635,HORI,HORI_070921,Hourglass Inflow,9-Jul-21,NORM,,,,,,,8,,0.7,1.89,0.21,6.66,108.86,16.55,1.08,0.01,0.26,0.39,1.79,0.02,0.13,0.26,0,1.19
FCW 631,HORO,HORO_070921,Hourglass Outflow,9-Jul-21,NORM,,,,,,,14,,1.7,2.58,0.21,6.74,116.01,18.61,1.12,0.04,0.32,0.44,2.31,0.02,0.29,0.11,0,1.38
FCW 632,HORR,HORR_070932,Hourglass Reservoir,9-Jul-21,NORM,,,,,,,14,,1.36,2.55,0.21,6.71,110.49,17.49,1.1,0.03,0.31,0.44,2.08,0.02,0.16,0.18,0,1.36
FCW 663,BMD,BMD_071421,Barnes Meadow Outflow,14-Jul-21,NORM,,,,,,,15,7.39,1.39,7.19,0.62,6.81,409.34,78.97,2.43,0.29,1.2,1.48,9.62,0.03,1.67,0.23,0,10.76
FCW 664,BRNR,BRNR_071421,Barnes Meadow Reservoir,14-Jul-21,NORM,,,,,,,4.5,,2.19,7.1,0.31,7.19,467.15,80.81,2.47,0.03,1.23,1.55,9.83,0.03,1.69,0.18,0,11.8
FCW 662,CBRI,CBRI_071421,Chambers Inlet,14-Jul-21,NORM,,,,,,,2,,0.4,2.63,0.21,7.11,390.19,47.26,1.79,0.03,0.67,1.12,5.88,0.07,0.53,0.19,0,2.89
FCW 665,CBRR,CBRR_071421,Chambers Reservoir,14-Jul-21,NORM,,,,,,,4,,1.69,2.89,0.19,7.21,316.75,44.45,1.44,0.03,0.68,0.97,5.48,0.06,0.44,0.14,0,3.14
FCW 666,CHD,CHD_071421,Chambers Outflow,14-Jul-21,NORM,,,,,,,2.5,0.73,1.29,2.57,0.19,7.05,421.53,52.25,1.83,0.02,0.94,1.17,7.15,0.06,0.49,0.17,0,3.41
FCW 660,JOEI,JOEI_071421,Joe Wright Inlet,14-Jul-21,NORM,,,,,,,2.5,,0.52,1.14,0.17,7.08,454.32,56.67,1.53,0.04,0.37,1.42,7.36,0.07,0.27,0.39,0,6.1
FCW 661,JOER,JOER_071421,Joe Wright Reservoir,14-Jul-21,NORM,,,,,,,1.5,,1.43,3.16,0.18,7.11,316.98,45.57,1.57,0.03,0.57,1.29,6.03,0.05,0.55,0.01,0,3.39
FCW 656,LNGO,LNGO_071421,Long Draw Outlet,14-Jul-21,NORM,,,,,,,,0,1.17,2.96,0.3,6.91,235.62,42.57,0.96,0.02,0.48,1.1,6.13,0.2,0.14,0.58,0,5.97
FCW 655,LNGR,LNGR_071421,Long Draw Reservoir,14-Jul-21,NORM,,,,,,,3,,1.97,3.18,0.25,6.97,221.2,41.57,0.96,0.02,0.49,1.03,5.75,0.19,0.16,0.41,0,5.25
FCW 657,PTRO,PTRO_071421,Peterson Outlet,14-Jul-21,DUPLICATE,,,,,,,5.5,,0.5,7.13,0.56,7.01,212.95,45.2,1.78,0.15,1.39,0.88,5.89,0.02,0.78,0.17,0,6.65
